cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,limite_indicative,limite_indicative_unite,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire,web_label,statut_autorisation,commentaire
FERI,1185,FÉNARIMOL,Fénarimol,60168-88-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fénarimol,,
FENCL,1186,FENCHLORPHOS,Fenchlorphos,299-84-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fenchlorphos,,
FENIT,1187,FENITROTHION,Fenitrothion,122-14-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fenitrothion,,
FEINE,1188,FENPROPATHRINE,Fenpropathrine,39515-41-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fenpropathrine,,
FPPMP,1189,FENPROPIMORPHE,Fenpropimorphe,67564-91-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,9,µg/L,Vmax établie par l'Anses en 2007,,,,Fenpropimorphe,,
FENTH,1190,FENTHION,Fenthion,55-38-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fenthion,,
FOLPEL,1192,FOLPEL,Folpel,0133-07-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,300,µg/L,Vmax établie par l'Anses en 2007,,,,Folpel,,
TAUFLU,1193,FLUVALINATE-TAU,Fluvalinate-tau,102851-06-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fluvalinate-tau,,
FSLZ,1194,FLUSILAZOL,Flusilazol,85509-19-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,3,µg/L,Vmax établie par l'Anses en 2008,,,,Flusilazol,,
HEP,1197,HEPTACHLORE,Heptachlore,76-44-8,pesticide,sub_active,,0.03,µg/L,Limite de qualité réglementaire pour la substance active heptachlore,,,0.03,µg/L,Vmax établie par l'Anses en 2008,,,,Heptachlore,,
HEPE,1198,HEPTACHLORE ÉPOXYDE,Heptachlore époxyde,,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Heptachlore époxyde,,
HCHA,1200,HCH ALPHA,HCH alpha,319-84-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,HCH alpha,,
HCHB,1201,HCH BÉTA,HCH béta,319-85-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.017,µg/L,"Vmax établie par l'Anses en 2008 0,017 (associée à ERI = 10-6) ",,,,HCH béta,Interdit,
HCHD,1202,HCH DELTA,HCH delta,319-86-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,HCH delta,,
HCHG,1203,HCH GAMMA (LINDANE),HCH gamma (lindane),58-89-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,2,µg/L,Vmax établie par l'Anses en 2007,,,,HCH gamma (lindane),Interdit,
IOXY,1205,IOXYNIL,Ioxynil,1689-83-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,15,µg/L,Vmax établie par l'Anses en 2007,,,,Ioxynil,,
IPD,1206,IPRODIONE,Iprodione,36734-19-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.6,µg/L,"Vmax établie par l'Anses en 2020 0,6 (associée à ERI = 10-6)",,,,Iprodione,,
IALDR,1207,ISODRINE,Isodrine,465-73-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Isodrine,,
ISP,1208,ISOPROTURON,Isoproturon,34123-59-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,9,µg/L,Vmax établie par l'Anses en 2007,,,,Isoproturon,,
LNR,1209,LINURON,Linuron,330-55-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,9,µg/L,Vmax établie par l'Anses en 2007,,,,Linuron,,
MALTH,1210,MALATHION,Malathion,121-75-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,90,µg/L,Vmax établie par l'Anses en 2008,,,,Malathion,,
MANC,1211,MANCOZÈBE,Mancozèbe,07/01/8018,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,111,µg/L,Vmax établie par l'Anses en 2019,,,,Mancozèbe,,
MCPA,1212,"2,4-MCPA","2,4-MCPA",94-74-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,2,µg/L,Vmax établie par l'Anses en 2007,,,,"2,4-MCPA",Autorisé,
MCPB,1213,"2,4-MCPB","2,4-MCPB",94-81-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"2,4-MCPB",,
FNP,1214,MÉCOPROP,Mécoprop,93-65-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,10,µg/L,Vmax établie par l'Anses en 2007,,,,Mécoprop,,
MTMI,1215,MÉTAMITRONE,Métamitrone,41394-05-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,67,µg/L,Vmax établie par l'Anses en 2020,,,,Métamitrone,Autorisé,
MTBZTZ,1216,MÉTABENZTHIAZURON,Métabenzthiazuron,18691-97-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST. L'Anses n'a pas pu établir de valeur sanitaire en 2013,,,,Métabenzthiazuron,,
MTHION,1217,MÉTHIDATHION,Méthidathion,950-37-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,3,µg/L,Vmax établie par l'Anses en 2013,,,,Méthidathion,,
MTMY,1218,MÉTHOMYL,Méthomyl,16752-77-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Méthomyl,,
MTC,1221,MÉTOLACHLORE,Métolachlore,51218-45-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,10,µg/L,Vmax établie par l'Anses en 2007,,,,Métolachlore,Interdit,
MTZ,1222,MÉTOXURON,Métoxuron,19937-59-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Métoxuron,Interdit,
MTBZ,1225,MÉTRIBUZINE,Métribuzine,21087-64-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,40,µg/L,Vmax établie par l'Anses en 2013,,,,Métribuzine,Interdit,
MVPH,1226,MÉVINPHOS,Mévinphos,7786-34-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Mévinphos,,
MLNR,1227,MONOLINURON,Monolinuron,1746-81-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,9,µg/L,Vmax établie par l'Anses en 2013,,,,Monolinuron,,
MNR,1228,MONURON,Monuron,150-68-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Monuron,,
NITROF,1229,NITROFÈNE,Nitrofène,1836-75-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Nitrofène,,
OOA,1230,OMÉTHOATE,Ométhoate,1113-02-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Ométhoate,,
OXDM,1231,OXYDÉMÉTON MÉTHYL,Oxydéméton méthyl,0301-12-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,1,µg/L,Vmax établie par l'Anses en 2008,,,,Oxydéméton méthyl,,
PARTH,1232,PARATHION ÉTHYL,Parathion éthyl,56-38-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Parathion éthyl,,
PARTHM,1233,PARATHION MÉTHYL,Parathion méthyl,298-00-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,9,µg/L,Vmax établie par l'Anses en 2007,,,,Parathion méthyl,,
PDM,1234,PENDIMÉTHALINE,Pendiméthaline,40487-42-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,277,µg/L,Vmax établie par l'Anses en 2020,,,,Pendiméthaline,Autorisé,
PHENM,1236,PHENMÉDIPHAME,Phenmédiphame,13684-63-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Phenmédiphame,,
PHOSL,1237,PHOSALONE,Phosalone,2310-17-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Phosalone,,
PPMD,1238,PHOSPHAMIDON,Phosphamidon,13171-21-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Phosphamidon,,
PCLR,1253,PROCHLORAZE,Prochloraze,67747-09-05,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,22,µg/L,Vmax établie par l'Anses en 2020,,,,Prochloraze,,
PROM,1254,PROMÉTHRINE,Prométhrine,7287-19-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,12,µg/L,Vmax établie par l'Anses en 2007,,,,Prométhrine,,
PPIT,1255,PROPARGITE,Propargite,2312-35-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Propargite,,
PROP,1256,PROPAZINE,Propazine,139-40-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2007,,,,Propazine,,
PPCNZ,1257,PROPICONAZOLE,Propiconazole,60207-90-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,120,µg/L,Vmax établie par l'Anses en 2016,,,,Propiconazole,Interdit,
PZP,1258,PYRAZOPHOS,Pyrazophos,13457-18-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyrazophos,,
PYRD,1259,PYRIDATE,Pyridate,55512-33-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,108,µg/L,Vmax établie par l'Anses en 2008,,,,Pyridate,,
PMPT,1260,PYRIMIPHOS ÉTHYL,Pyrimiphos éthyl,23505-41-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyrimiphos éthyl,,
PYRMM,1261,PYRIMIPHOS MÉTHYL,Pyrimiphos méthyl,29232-93-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyrimiphos méthyl,,
SECB,1262,SECBUMÉTON,Secbuméton,26259-45-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST. L'Anses n'a pas pu établir de valeur sanitaire en 2007,,,,Secbuméton,Interdit,
SMZ,1263,SIMAZINE,Simazine,122-34-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,2,µg/L,Vmax établie par l'Anses en 2007,,,,Simazine,Interdit,
245T,1264,"2,4,5-T","2,4,5-T",93-76-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"2,4,5-T",,
TERBM,1266,TERBUMÉTON,Terbuméton,33693-04-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,225,µg/L,Vmax établie par l'Anses en 2008,,,,Terbuméton,,
TERB,1267,TERBUPHOS,Terbuphos,13071-79-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Terbuphos,,
TBZ,1268,TERBUTHYLAZIN,Terbuthylazin,5915-41-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,4.9,µg/L,Vmax établie par l'Anses en 2020,,,,Terbuthylazin,,
TERBU,1269,TERBUTRYNE,Terbutryne,886-50-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,3,µg/L,Vmax établie par l'Anses en 2007,,,,Terbutryne,Interdit,
TCVP,1277,TÉTRACHLORVINPHOS,Tétrachlorvinphos,22248-79-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tétrachlorvinphos,,
TOXAPHE,1279,TOXAPHÈNE,Toxaphène,8001-35-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Toxaphène,,
TDMN,1280,TRIADIMENOL,Triadimenol,55219-65-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Triadimenol,,
TLL,1281,TRIALLATE,Triallate,2303-17-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Triallate,,
TCF,1287,TRICHLORFON,Trichlorfon,52-68-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Trichlorfon,,
TCPY,1288,TRICLOPYR,Triclopyr,55335-06-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,90,µg/L,Vmax établie par l'Anses en 2017,,,,Triclopyr,,
TRIF,1289,TRIFLURALINE,Trifluraline,1582-09-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,22,µg/L,Vmax établie par l'Anses en 2017,,,,Trifluraline,,
VMDT,1290,VAMIDOTHION,Vamidothion,2275-23-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Vamidothion,,
VCLZ,1291,VINCHLOZOLINE,Vinchlozoline,50471-44-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,30,µg/L,Vmax établie par l'Anses en 2008,,,,Vinchlozoline,,
AMITZ,1308,AMITRAZE,Amitraze,33089-61-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Amitraze,,
ACNT,1310,ACRINATHRINE,Acrinathrine,101007-06-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Acrinathrine,,
BEND,1329,BENDIOCARBE,Bendiocarbe,22781-23-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bendiocarbe,,
CBTM,1333,CARBÉTAMIDE,Carbétamide,16118-49-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,180,µg/L,Vmax établie par l'Anses en 2013,,,,Carbétamide,,
